"Symbol","Name","Last Trade","Type","Exchange"
"INTELLECT.BO","INTELLECT DESIGN ARENA LIMITED","290.55","Stock","BSE"
"ASIANPAIN.NS","Asian Paints Ltd.","848.55","Stock","NSI"
"OJASASSET.BO","OJAS ASSET RECONSTRUCTION COMP","39.85","Stock","BSE"
"GOOG","Alphabet Inc.","767.04","Stock","NMS"
"DD","E. I. du Pont de Nemours and Company","67.28","Stock","NYQ"
"AUDINR=X","AUD/INR","48.80","Currencies","CCY"
"ARCHIES.BO","Archies Ltd","31.05","Stock","BSE"
"AMTEKAUTO.NS","Amtek Auto Ltd","43.40","Stock","NSI"
"ACE.BO","Action Construction Equipment Ltd","45.95","Stock","BSE"
"ABAN.BO","ABAN OFFSHORE LTD.","234.45","Stock","BSE"
"TREEHOUSE.NS","Tree House Education & Accessories Ltd","183.55","Stock","NSI"
"SPARC.NS","Sun Pharma Advanced Research Co Ltd","351.20","Stock","NSI"
"PIPAVAVDOC.BO","PIPAVAV DEFENCE AND OFFSHORE E","66.40","Stock","BSE"
"PANW","Palo Alto Networks, Inc.","188.94","Stock","NYQ"
"BALASORE.BO","Balasore Alloys Ltd","22.35","Stock","BSE"
"AXTA","Axalta Coating Systems Ltd.","28.72","Stock","NYQ"
"AXP","American Express Company","72.20","Stock","NYQ"
"APOLLOHOSP-EQ.NS","APOLLO HOSPITALS ENTERPRISE LIM","1,379.35","Stock","NSI"
"ANSALBU.BO","Ansal Buildwell Ltd","107.30","Stock","BSE"
"ANIP","ANI Pharmaceuticals, Inc.","43.97","Stock","NGM"
"ANDHRABAN.NS","Andhra Bank","68.70","Stock","NSI"
"AKSHOPTFBR.BO","Aksh Optifibre Ltd","19.20","Stock","BSE"
"AGQ","ProShares Ultra Silver","28.68","ETF","PCX"
"AGEN","Agenus Inc.","5.12","Stock","NCM"
"AET","Aetna Inc.","107.50","Stock","NYQ"
"ADSL.BO","Allied Digital Services Ltd","53.25","Stock","BSE"
"ADHI.JK","Adhi Karya (Persero) Tbk.","2,215.00","Stock","JKT"
"ADES.JK","Akasha Wira International Tbk.","1,055.00","Stock","JKT"
"ACC.BO","ACC Ltd","1,359.10","Stock","BSE"
"AARYAGLOBL.BO","AARYA GLOBAL SHARES AND SECURI","1.90","Stock","BSE"
"^DJA","Dow Jones Composite Average","6,201.03","Index","DJI"
"UCW.AX","UCW Limited","0.06","Stock","ASX"
"UBS","UBS Group AG","19.36","Stock","NYQ"
"SAIC","Science Applications International Corporation","50.53","Stock","NYQ"
"RS","Reliance Steel & Aluminum Co.","59.95","Stock","NYQ"
"RGA","Reinsurance Group of America Inc.","93.21","Stock","NYQ"
"NLY","Annaly Capital Management, Inc.","9.6","Stock","NYQ"
"NATIONALU.NS","National Aluminium Company Limited","40.4","Stock","NSI"
"LLY","Eli Lilly and Company","86.5","Stock","NYQ"
"JVLAGRO.NS","JVL Agro Industries Ltd","21","Stock","NSI"
"GFY","Western Asset Variable Rate Strategic Fund Inc.","15.83","Stock","NYQ"
"CLUTCHAUTO-EQ.NS","CLUTCH AUTO LTD.","12.95","Stock","NSI"
"CHOLAFIN.NS","Cholamandalam Investment And Finance Co Ltd","629.9","Stock","NSI"
"AZO","AutoZone, Inc.","779.24","Stock","NYQ"
"AXS","AXIS Capital Holdings Limited","56.13","Stock","NYQ"
"AXON","Axovant Sciences Ltd.","18.89","Stock","NYQ"
"AXL.TO","Anderson Energy Inc.","0.01","Stock","TOR"
"AWK","American Water Works Company, Inc.","57.87","Stock","NYQ"
"AVNU","Avenue Financial Holdings, Inc.","13.95","Stock","NMS"
"AUTOIND.NS","Autoline Industries Ltd","45.05","Stock","NSI"
"AT","Atlantic Power Corporation","2.01","Stock","NYQ"
"ASSAMCO.BO","Assam Petrochemicals Ltd","4.69","Stock","BSE"
"ASML","ASML Holding NV","93.24","Stock","NMS"
"ASAL.NS","Automotive Stampings & Assemblies Ltd","41","Stock","NSI"
"ARVINDREM.NS","Arvind Remedies Ltd","6.65","Stock","NSI"
"ARSSINFRA.BO","ARSS Infrastructure Projects Ltd","40","Stock","BSE"
"APTECHT.NS","Aptech Ltd","62.75","Stock","NSI"
"APCL.BO","Anjani Synthetics Ltd","213.9","Stock","BSE"
"APARINDS.NS","Apar Industries Ltd","459.85","Stock","NSI"
"ANF","Abercrombie & Fitch Co.","25.75","Stock","NYQ"
"AMTEKAUTO.BO","Amtek Auto Ltd","43.4","Stock","BSE"
"AMGN","Amgen Inc.","161.98","Stock","NMS"
"AMAT","Applied Materials, Inc.","19.18","Stock","NMS"
"ALXN","Alexion Pharmaceuticals, Inc.","180.28","Stock","NMS"
"ALLCARGO.NS","Allcargo Logistics Ltd","379.15","Stock","NSI"
"ALKALI.BO","Alkali Metals Ltd","53.7","Stock","BSE"
"AFG","American Financial Group Inc.","74.53","Stock","NYQ"
"AEO","American Eagle Outfitters, Inc.","15.77","Stock","NYQ"
"AEDINR=X","AED/INR","18.14","Currencies","CCY"
"ADP","Automatic Data Processing, Inc.","87.56","Stock","NMS"
"ADBE","Adobe Systems Incorporated","92.55","Stock","NMS"
"ADANIPOWER.BO","Adani Power Ltd","30.30","Stock","BSE"
"ADANIPORTS.BO","ADANI PORTS AND SPECIAL ECONOM","262.05","Stock","BSE"
"ADANIENT.NS","Adani Enterprises Ltd","83.30","Stock","NSI"
"ACW","Accuride Corp.","2.50","Stock","NYQ"
"ACTG","Acacia Research Corporation","5.98","Stock","NMS"
"ACAS","American Capital, Ltd.","15.55","Stock","NMS"
"AC.PA","Accor S.A.","41.45","Stock","PAR"
"ABIRLANUV.NS","Aditya Birla Nuvo Ltd","2,118.80","Stock","NSI"
"ABGSHIP.NS","ABG Shipyard Ltd","71.55","Stock","NSI"
"AAL","American Airlines Group Inc.","43.26","Stock","NMS"
"AA","Alcoa Inc.","9.48","Stock","NYQ"
"A2ZINFRA.BO","A2Z INFRA ENGINEERING LIMITED","26.45","Stock","BSE"
"^NQASPA8000LMEURT","NASDAQ ASPA Financials Large Mi","1,308.89","Index","NIM"
"^NQASPA3000LMEUR","NASDAQ ASPA Cnsmr Goods Lg Md C","1,348.18","Index","NIM"
"^NQASPA3000LMAUDT","NASDAQ ASPA Cnsmr Goods Lg Md C","1,332.19","Index","NIM"
"^NQASPA3000LMAUD","NASDAQ ASPA Cnsmr Goods Lg Md C","1,284.10","Index","NIM"
"^MERV","MERVAL BUENOS AIRES","12,826.13","Index","BUE"
"^GRNAM","NASDAQ OMX Advanced Materials","1,315.56","Index","NIM"
"^DRBGT","NASDAQ Global Buyback Achievers","1,122.07","Index","NIM"
"^DRBG","NASDAQ Global Buyback Achievers","1,094.71","Index","NIM"
"^DJU","Dow Jones Utility Average","567.30","Index","DJI"
"^DAATR","NASDAQ US Broad Dividend Achiev","2,444.10","Index","NIM"
"^CNXAUTO","NIFTY AUTO","8,416.40","Index","NSI"
"^BKIN","BNY Mellon India ADR Index","1,391.15","Index","SNP"
"^BKDM","BNY Mellon Developed Markets AD","103.00","Index","SNP"
"ZNH","China Southern Airlines Co. Ltd.","38.21","Stock","NYQ"
"YPCZO.BA","YPF SA 2% NTS 10/03/2017 USD1","1,050.00","Stock","BUE"
"Y","Alleghany Corporation","515.25","Stock","NYQ"
"XVKIX","Invesco Advantage Muni Income T","12.56","Mutual Fund","NAS"
"XUSAX","Liberty All Star Equity Fund","6.42","Mutual Fund","NAS"
"XNXZX","Nuveen Dividend Advantage Munic","15.91","Mutual Fund","NAS"
"XMHYX","Western Asset High Income Portf","5.20","Mutual Fund","NAS"
"XLRN","Acceleron Pharma, Inc.","43.63","Stock","NGM"
"XIAFX","Aberdeen Australia Equity Fund,","6.45","Mutual Fund","NAS"
"XBGRX","BlackRock Energy and Resources","16.19","Mutual Fund","NAS"
"WWIDX","Wells Fargo Advantage Large Co Value Adm","15.96","Mutual Fund","NAS"
"WTRIX","Wells Fargo Advantage Core Bond R6","12.74","Mutual Fund","NAS"
"WSHFX","American Funds Washington Mutual F1","41.25","Mutual Fund","NAS"
"WSCDX","Wells Fargo Advantage Intrns SmCpVal C","23.48","Mutual Fund","NAS"
"WRLD","World Acceptance Corp.","43.96","Stock","NMS"
"WOTDX","Wells Fargo Advantage DJ Target Today R6","10.93","Mutual Fund","NAS"
"WOAIX","WOA All Asset I Class I","10.51","Mutual Fund","NAS"
"WMOBX","Wells Fargo Advantage Mod Balanced B","23.63","Mutual Fund","NAS"
"WMMRX","Wilmington Multi-Manager Real Asst A","13.35","Mutual Fund","NAS"
"WMFFX","American Funds Washington Mutual F2","41.36","Mutual Fund","NAS"
"WMCNX","William Blair Macro Allocation N","11.72","Mutual Fund","NAS"
"WLC.AX","Wollongong Coal Limited","0.01","Stock","ASX"
"WIREFABR.BO","Wires And Fabriks (SA) Ltd","98.85","Stock","BSE"
"WHYDX","Wells Fargo Advantage Hi Yld Muni Bd Adm","10.52","Mutual Fund","NAS"
"WGSDX","Wells Fargo Advantage Government Sec Ad","11.24","Mutual Fund","NAS"
"WFUSX","Wells Fargo Advantage Ult S/T Mun Inc C","9.49","Mutual Fund","NAS"
"WFSBX","Wells Fargo Advantage Small Co Growth B","36.93","Mutual Fund","NAS"
"WFQYX","Wells Fargo Advtg DJ Trgt 2045 Adm","11.44","Mutual Fund","NAS"
"WFQRX","Wells Fargo Advtg DJ Trgt 2035 R6","10.92","Mutual Fund","NAS"
"WFQEX","Wells Fargo Advtg DJ Trgt 2015 Inv","10.31","Mutual Fund","NAS"
"WFQBX","Wells Fargo Advtg DJ Trgt 2035 A","10.9","Mutual Fund","NAS"
"WFPDX","Wells Fargo Advantage Prem Lg Co Gr Adm","16.22","Mutual Fund","NAS"
"WFPCX","Wells Fargo Advantage Spec Md Cp Val C","31.15","Mutual Fund","NAS"
"WFOAX","Wells Fargo Advtg DJ Trgt 2010 R6","13.13","Mutual Fund","NAS"
"WFLLX","Wells Fargo Advantage Large Cap Core Adm","15.99","Mutual Fund","NAS"
"WFITX","Wells Fargo Advantage Interm T/AmtF Adm","11.62","Mutual Fund","NAS"
"WFFAX","Wells Fargo Advantage Intl Value A","13.55","Mutual Fund","NAS"
"WFETX","Wells Fargo Advtg DJ Trgt 2030 Inv","16.58","Mutual Fund","NAS"
"WFERX","Wells Fargo Advantage Intl Eq R","11.61","Mutual Fund","NAS"
"WFENX","Wells Fargo Advantage Intl Eq I","11.45","Mutual Fund","NAS"
"WFDAX","Wells Fargo Advantage Discovery A","32.07","Mutual Fund","NAS"
"WFCAX","Wells Fargo Advantage Asia Pacific C","11.27","Mutual Fund","NAS"
"WFACX","Wells Fargo Advantage Lg Cp Apprec C","10.12","Mutual Fund","NAS"
"WEMMX","TETON Westwood Mighty Mites AAA","23.23","Mutual Fund","NAS"
"WEMCX","Wells Fargo Advantage Emerging Gr C","14.45","Mutual Fund","NAS"
"WECDX","Wells Fargo Advantage Endeavor Select Ad","14.15","Mutual Fund","NAS"
"WECBX","Wells Fargo Advantage Endeavor Select B","11.9","Mutual Fund","NAS"
"WEBAX","TETON Westwood Balanced AAA","11.53","Mutual Fund","NAS"
"WATFX","Western Asset Core Bond I","12.27","Mutual Fund","NAS"
"WAPRX","Western Asset Core Plus Bond R","11.56","Mutual Fund","NAS"
"WAFM.L","West African Minerals Corporation","2.26","Stock","LSE"
"WAEOX","Western Asset Emerging Markets Dbt C","4.71","Mutual Fund","NAS"
"WAEGX","Sentinel Sustainable Mid Cap Opp A","18","Mutual Fund","NAS"
"WAB","Westinghouse Air Brake Technologies Corporation","80.04","Stock","NYQ"
"WAABX","Waddell & Reed Accumulative B","9.72","Mutual Fund","NAS"
"WAAAX","Wilmington Strategic Allc Agrsv A","11.82","Mutual Fund","NAS"
"VWNAX","Vanguard Windsor II Admiral","65.69","Mutual Fund","NAS"
"VWIUX","Vanguard Interm-Term Tx-Ex Adm","14.22","Mutual Fund","NAS"
"VTMGX","Vanguard Developed Markets Idx Admiral","12.25","Mutual Fund","NAS"
"VSMAX","Vanguard Small Cap Index Adm","56.05","Mutual Fund","NAS"
"VSIAX","Vanguard Small Cap Value Index Admiral","45.29","Mutual Fund","NAS"
"VSFAX","Federated Clover Small Value A","24.66","Mutual Fund","NAS"
"VSDIX","Advantus Strategic Dividend Income Instl","10.64","Mutual Fund","NAS"
"VPAOX","Vantagepoint Aggressive Opp Inv","11.59","Mutual Fund","NAS"
"VNYUX","Vanguard NY Long-Term Tax-Exempt Adm","11.86","Mutual Fund","NAS"
"VNMAX","Victory National Municipal Bond A","11.18","Mutual Fund","NAS"
"VMRAX","Vanguard Morgan Growth Admiral","86.27","Mutual Fund","NAS"
"VMPYX","Wells Fargo Advantage Strat Muni Bd Adm","8.99","Mutual Fund","NAS"
"VLPNF","Voestalpine AG","32.1","Stock","PNK"
"VLAAX","Value Line Asset Allocation Investor","29.16","Mutual Fund","NAS"
"VKMGX","Invesco US Mortgage A","12.31","Mutual Fund","NAS"
"VINAX","Vanguard Industrials Index Adm","54.01","Mutual Fund","NAS"
"VGHAX","Vanguard Health Care Adm","98.3","Mutual Fund","NAS"
"VFWPX","Vanguard FTSE All-Wld ex-US Idx InstlPlu","94.53","Mutual Fund","NAS"
"VFPAX","Private Capital Management Value A","15.54","Mutual Fund","NAS"
"VFIUX","Vanguard Interm-Term Treasury Adm","11.43","Mutual Fund","NAS"
"VEXRX","Vanguard Explorer Adm","86.81","Mutual Fund","NAS"
"VEUAX","JPMorgan Intrepid European A","24.17","Mutual Fund","NAS"
"VEIAX","Virtus Emerging Markets Equity Income A","8.39","Mutual Fund","NAS"
"VCAAX","VALIC Company I Asset Allocation","12.24","Mutual Fund","NAS"
"VANTX","JPMorgan NY Tax Free Bond A","7.11","Mutual Fund","NAS"
"VALEX","Al Frank Dividend Value Adv","12.9","Mutual Fund","NAS"
"VALDX","Al Frank Dividend Value Inv","12.95","Mutual Fund","NAS"
"VALAX","Al Frank Adv","24.15","Mutual Fund","NAS"
"VAIPX","Vanguard Inflation-Protected Secs Adm","25.75","Mutual Fund","NAS"
"VADAX","Invesco Equally-Wtd S&P 500 A","49.19","Mutual Fund","NAS"
"UTELX","USAA Tax Exempt Long-Term Adviser","13.61","Mutual Fund","NAS"
"URTAX","JPMorgan Realty Income A","14.16","Mutual Fund","NAS"
"UNIAUTO.BO","Universal Autofoundry Limited","26","Stock","BSE"
"UNASX","Waddell & Reed Asset Strategy A","8.44","Mutual Fund","NAS"
"UBPIX","ProFunds UltraLatin America Inv","1.89","Mutual Fund","NAS"
"UA","Under Armour, Inc.","87.18","Stock","NYQ"
"TWNOX","American Century New Opps Investor","11.77","Mutual Fund","NAS"
"TWMLX","AllianceB/TWM Glb Eq&Cvr Call Strat Inst","10.33","Mutual Fund","NAS"
"TWIEX","American Century International Gr Inv","12.38","Mutual Fund","NAS"
"TWGGX","American Century Global Growth Inv","12.14","Mutual Fund","NAS"
"TWERX","American Century Intl Discovery R","12.84","Mutual Fund","NAS"
"TWEAX","American Century Equity Income A","8.8","Mutual Fund","NAS"
"TWDAX","Templeton World Adv","16.9","Mutual Fund","NAS"
"TWCIX","American Century Select Inv","62.49","Mutual Fund","NAS"
"TWAVX","American Century Short Term Govt A","9.63","Mutual Fund","NAS"
"TVRAX","Transparent Value Directional Allc A","12.77","Mutual Fund","NAS"
"TVDAX","Transparent Value Large-Cap Defensive A","11.22","Mutual Fund","NAS"
"TTRZX","Templeton Global Total Return Adv","11.86","Mutual Fund","NAS"
"TTAIX","Transamerica Dynamic Allocation II I","9.75","Mutual Fund","NAS"
"TSIAX","Thornburg Strategic Income A","11.21","Mutual Fund","NAS"
"TSALX","TIAA-CREF Lifestyle Aggressive Gr Retail","14.67","Mutual Fund","NAS"
"TRMK.ME","PAO TMK","49.75","Stock","MCX"
"TPEAX","Thrivent Partner Emerging Mkts Eq A","7.52","Mutual Fund","NAS"
"TPDAX","Timothy Plan Defensive Strategies A","10.6","Mutual Fund","NAS"
"TODCX","Touchstone Active Bond C","9.5","Mutual Fund","NAS"
"TOBYX","Touchstone Active Bond Y","10.23","Mutual Fund","NAS"
"TMVAX","RBC Microcap Value A","28.24","Mutual Fund","NAS"
"TMLCX","SEI Tax-Managed Large Cap A (SIMT)","20.71","Mutual Fund","NAS"
"TMFGX","Motley Fool Great America","19.26","Mutual Fund","NAS"
"TLSIX","AMG Trilogy International Sm Cap Instl","10","Mutual Fund","NAS"
"TLRAX","Federated Total Return Bond A","10.79","Mutual Fund","NAS"
"TLGIX","AMG Trilogy Global Equity Institutional","10.93","Mutual Fund","NAS"
"TINCX","Templeton Global Balanced A1","3","Mutual Fund","NAS"
"TIGAX","Thornburg International Growth A","19.57","Mutual Fund","NAS"
"THULE.ST","Thule Group AB","115.5","Stock","STO"
"TGX.F","TALGA RESOURCES","0.26","Stock","FRA"
"TGVAX","Thornburg International Value A","24.55","Mutual Fund","NAS"
"TGRIX","American Century International Gr Instl","12.32","Mutual Fund","NAS"
"TGQIX","Touchstone Growth Allocation Instl","12.91","Mutual Fund","NAS"
"TGQCX","Touchstone Growth Allocation C","13.46","Mutual Fund","NAS"
"TGIGX","TCW Relative Value Dividend Apprec N","16.98","Mutual Fund","NAS"
"TFVAX","American Funds Tax-Exempt VA A","16.83","Mutual Fund","NAS"
"TFMAX","Templeton Frontier Markets A","11.47","Mutual Fund","NAS"
"TEQAX","Touchstone Sustainability & Imp Eq A","19.98","Mutual Fund","NAS"
"TEPFX","American Funds TaxExempt Presv Port F1","9.91","Mutual Fund","NAS"
"TEPAX","American Funds Tax-Exempt Presv Port A","9.9","Mutual Fund","NAS"
"TEO","Telecom Argentina S.A.","17.18","Stock","NYQ"
"TEMWX","Templeton World A","16.9","Mutual Fund","NAS"
"TEMMX","Templeton Emerging Markets Small Cap A","11.56","Mutual Fund","NAS"
"TEFEX","American Funds TaxExempt CA F2","17.76","Mutual Fund","NAS"
"TEEAX","RBC Small Cap Core A","31.25","Mutual Fund","NAS"
"TDHYX","TDAM High Yield Bond Advisor","9.25","Mutual Fund","NAS"
"TDCBX","TDAM Core Bond Advisor","9.99","Mutual Fund","NAS"
"TCVAX","Touchstone Mid Cap Value A","16.98","Mutual Fund","NAS"
"TCSGX","SEI Short-Duration Government A (SDIT)","10.46","Mutual Fund","NAS"
"TCGAX","Timothy Plan Conservative Growth A","10.47","Mutual Fund","NAS"
"TCAGX","Timothy Plan Aggressive Growth C","7.43","Mutual Fund","NAS"
"TASIX","Transamerica Multi-Manager Alt Strat I","9.99","Mutual Fund","NAS"
"TASCX","Third Avenue Small Cap Value Instl","22.83","Mutual Fund","NAS"
"TAPRX","Columbia Asia Pacific ex-Japan R5","13.02","Mutual Fund","NAS"
"TAMUX","Transamerica Enhanced Muni A","11.36","Mutual Fund","NAS"
"TAMBX","JHancock Tax-Free Bond A","10.04","Mutual Fund","NAS"
"TAIAX","American Funds Tx-Advtg Inc A","12.49","Mutual Fund","NAS"
"TAFTX","American Funds Tax-Exempt CA A","17.76","Mutual Fund","NAS"
"TACSX","Stadion Alternative Income I","9.67","Mutual Fund","NAS"
"T","AT&T, Inc.","33.77","Stock","NYQ"
"SZMAX","Deutsche Intermediate Tax/Amt Free A","11.97","Mutual Fund","NAS"
"SZIAX","Deutsche Core Plus Income A","10.58","Mutual Fund","NAS"
"SZEAX","Deutsche Enh Emerg Mkts Fxd Inc A","9.1","Mutual Fund","NAS"
"SXY.AX","Senex Energy Limited","0.14","Stock","ASX"
"SVSAX","SEI Conservative Strategy A (SAAT)","10.33","Mutual Fund","NAS"
"SUMAX","SEI Short Duration Municipal A (STET)","10.04","Mutual Fund","NAS"
"STVAX","Catalyst Hedged Insider Buying A","9.29","Mutual Fund","NAS"
"STSAX","Wells Fargo Advantage Common Stock C","19.3","Mutual Fund","NAS"
"STPBX","Wells Fargo Advtg DJ Trgt 2020 B","14.84","Mutual Fund","NAS"
"STOFX","Wells Fargo Advantage Large Cap Gr C","47.83","Mutual Fund","NAS"
"STGAX","Stratus Government Securities Retail A","10.1","Mutual Fund","NAS"
"STDFX","Wells Fargo Advantage Large Cap Gr Adm","50.13","Mutual Fund","NAS"
"SSMAX","SEI Small/Mid Cap Equity A (SIIT)","14.34","Mutual Fund","NAS"
"SRMAX","Deutsche Short-Term Municipal Bond A","10.2","Mutual Fund","NAS"
"SPIAX","Invesco S&P 500 Index A","22.92","Mutual Fund","NAS"
"SOPFX","Wells Fargo Advantage Opportunity Inv","47.75","Mutual Fund","NAS"
"SNWAX","Snow Capital Small Cap Value A","27.52","Mutual Fund","NAS"
"SNAVX","Schroder North American Equity Adv","15.28","Mutual Fund","NAS"
"SMOAX","SEI Moderate Strategy A (SAAT)","11.46","Mutual Fund","NAS"
"SMCWX","American Funds SMALLCAP World A","47.68","Mutual Fund","NAS"
"SMCAX","Deutsche Mid Cap Growth A","19.2","Mutual Fund","NAS"
"SMAVX","Wells Fargo Advantage Ult S/T Mun Inc A","9.62","Mutual Fund","NAS"
"SMAAX","SEI Massachusetts Municipal Bd A (STET)","10.82","Mutual Fund","NAS"
"SLVYX","Saratoga Large Capitalization Value A","21.31","Mutual Fund","NAS"
"SLR.MC","SOLARIA ENERGIA","0.83","Stock","MCE"
"SLGYX","Saratoga Large Capitalization Growth A","28.97","Mutual Fund","NAS"
"SLGRX","Wells Fargo Advantage Large Cap Gr R4","50.56","Mutual Fund","NAS"
"SILAX","Wells Fargo Advantage Divers Intl A","11.66","Mutual Fund","NAS"
"SIIAX","State Farm International Index A Legacy","11.53","Mutual Fund","NAS"
"SIHAX","Guggenheim High Yield A","10.7","Mutual Fund","NAS"
"SHYPX","American Beacon SiM High Yld Opps Inv","9.13","Mutual Fund","NAS"
"SHPAX","Saratoga Health & Biotechnology A","31.7","Mutual Fund","NAS"
"SHOS","Sears Hometown and Outlet Stores, Inc.","7.9","Stock","NCM"
"SHOIX","American Beacon SiM High Yld Opps Instl","9.16","Mutual Fund","NAS"
"SHMMX","Western Asset Managed Municipals A","16.66","Mutual Fund","NAS"
"SHK.BO","S H Kelkar and Company Limited","214.4","Stock","BSE"
"SHIVAAGRO.BO","SHIVA GLOBAL AGRO INDUSTRIES L","20.15","Stock","BSE"
"SHIBX","Western Asset Short Duration High Inc B","5.29","Mutual Fund","NAS"
"SHIAX","Western Asset Short Duration High Inc A","5.34","Mutual Fund","NAS"
"SGVDX","Wells Fargo Advantage Government Sec A","11.25","Mutual Fund","NAS"
"SGPBX","Wells Fargo Advtg DJ Trgt 2030 B","16.22","Mutual Fund","NAS"
"SGDJ","ALPS Sprott Junior Gold Miners ETF","20.26","ETF","PCX"
"SFFAX","State Farm International Equity A Legacy","10.84","Mutual Fund","NAS"
"SFCCX","Wells Fargo Advantage CA Ltd-Term T/F C","10.89","Mutual Fund","NAS"
"SESVX","SEI Small Cap Value A (SIMT)","23.66","Mutual Fund","NAS"
"SECEX","Guggenheim StylePlus - Large Core A","23.2","Mutual Fund","NAS"
"SDVIX","Wells Fargo Advantage Large Co Value Inv","16","Mutual Fund","NAS"
"SDPAX","Snow Capital Dividend Plus A","18.83","Mutual Fund","NAS"
"SDIAX","SunAmerica Strategic Bond A","3.31","Mutual Fund","NAS"
"SCVIX","Wells Fargo Advantage Small Co Value Adm","21.1","Mutual Fund","NAS"
"SCVAX","Wells Fargo Advantage Small Co Value A","20.62","Mutual Fund","NAS"
"SCTEX","Columbia AMT-Free CT Interm Muni Bd Z","10.88","Mutual Fund","NAS"
"SCTCX","Wells Fargo Advantage CA Tax-Free C","12.21","Mutual Fund","NAS"
"SCSDX","Wells Fargo Advantage Common Stock Adm","23.75","Mutual Fund","NAS"
"SCOTX","CMG Long/Short A","5.7","Mutual Fund","NAS"
"SCOK","SinoCoking Coal and Coke Chemical Industries, Inc.","1.13","Stock","NCM"
"SCO.V","Carrie Arran Resources Inc.","0.05","Stock","VAN"
"SCD","LMP Capital and Income Fund Inc.","12.81","Stock","NYQ"
"SBVAX","ClearBridge Small Cap Value A","21.06","Mutual Fund","NAS"
"SBSTX","Western Asset Short-Term Bond A","3.86","Mutual Fund","NAS"
"SBLTX","Western Asset Intermediate-Term Muni A","6.56","Mutual Fund","NAS"
"SBILX","Western Asset Corporate Bond C1","11.92","Mutual Fund","NAS"
"SBHYX","Western Asset Global High Yield Bd B","6.14","Mutual Fund","NAS"
"SBCPX","QS Legg Mason Defensive Growth A","13.2","Mutual Fund","NAS"
"SBALX","Victory Balanced A","15.15","Mutual Fund","NAS"
"SARNX","Schroder Absolute Return EMD and Ccy Inv","9.26","Mutual Fund","NAS"
"SAOIX","Guggenheim Alpha Opportunity Instl","25.75","Mutual Fund","NAS"
"SANWARIA.NS","Sanwaria Agro Oils Ltd","7.55","Stock","NSI"
"SAMSX","IIT Sector Allocation Model","10.67","Mutual Fund","NAS"
"SAIL.BO","Steel Authority Of India Ltd","47.75","Stock","BSE"
"S32.AX","South32 Limited","1.19","Stock","ASX"
"RYVTX","Rydex Dyn Inverse NASDAQ-100 2X Strat A","14.84","Mutual Fund","NAS"
"RYMNX","Rydex Precious Metals A","18.27","Mutual Fund","NAS"
"RYLVX","Rydex S&P 500 Pure Value A","135.81","Mutual Fund","NAS"
"RYFNX","Rydex Financial Services A","108.53","Mutual Fund","NAS"
"RYARX","Rydex Inverse S&P 500 Strategy A","12.88","Mutual Fund","NAS"
"RYAPX","Rydex Inverse NASDAQ-100 Strategy A","22.97","Mutual Fund","NAS"
"RYANX","Rydex Nova A","47.61","Mutual Fund","NAS"
"RYADX","Rydex Government Long Bd 1.2x Strat Adv","54.2","Mutual Fund","NAS"
"RWIAX","American Funds Capital World Gr&Inc R1","45.32","Mutual Fund","NAS"
